time, N, D, A, C
344 , 14705 , 397 , 119506 , 963
345 , 14710 , 399 , 119500 , 959
346 , 14713 , 400 , 119506 , 949
347 , 14721 , 401 , 119499 , 945
348 , 14730 , 402 , 119501 , 933
349 , 14728 , 407 , 119503 , 935
350 , 14751 , 403 , 119486 , 926
351 , 14753 , 407 , 119481 , 918
352 , 14774 , 408 , 119466 , 911
353 , 14777 , 408 , 119465 , 904
354 , 14795 , 410 , 119444 , 902
355 , 14798 , 422 , 119410 , 916
356 , 14794 , 425 , 119397 , 926
357 , 14813 , 426 , 119374 , 921
358 , 14840 , 423 , 119341 , 917
359 , 14822 , 426 , 119315 , 946
360 , 14830 , 422 , 119299 , 952
361 , 14815 , 428 , 119294 , 964
362 , 14823 , 425 , 119286 , 961
363 , 14823 , 432 , 119271 , 972
364 , 14822 , 422 , 119254 , 994
365 , 14792 , 428 , 119233 , 1038
366 , 14785 , 428 , 119230 , 1053
367 , 14780 , 429 , 119223 , 1066
368 , 14767 , 430 , 119223 , 1079
369 , 14757 , 428 , 119222 , 1097
370 , 14747 , 425 , 119240 , 1097
371 , 14754 , 421 , 119236 , 1104
372 , 14738 , 426 , 119243 , 1103
373 , 14747 , 421 , 119249 , 1091
374 , 14743 , 428 , 119260 , 1074
375 , 14731 , 427 , 119280 , 1065
376 , 14741 , 421 , 119265 , 1078
377 , 14736 , 422 , 119263 , 1085
378 , 14736 , 422 , 119264 , 1081
379 , 14731 , 423 , 119260 , 1085
380 , 14738 , 418 , 119260 , 1085
381 , 14724 , 425 , 119265 , 1090
382 , 14741 , 422 , 119255 , 1092
383 , 14737 , 424 , 119270 , 1078
384 , 14741 , 426 , 119286 , 1063
385 , 14748 , 424 , 119292 , 1053
386 , 14756 , 424 , 119287 , 1049
387 , 14762 , 423 , 119292 , 1035
388 , 14769 , 425 , 119298 , 1019
389 , 14775 , 428 , 119307 , 1002
390 , 14780 , 426 , 119331 , 980
391 , 14784 , 426 , 119331 , 973
392 , 14786 , 429 , 119334 , 963
393 , 14789 , 426 , 119318 , 980
394 , 14792 , 419 , 119325 , 974
